name,statePark,recreationArea,stateForest,description,physicalAddress,county,phoneNumber,dnrWebsite,directions,hours,LatLongCoordinates,slug,distance
Amnicon Falls State park,TRUE,FALSE,FALSE,"Amnicon Falls State Park features a series of delightful waterfalls and rapids along the Amnicon River. You can view them from a covered foot bridge or 2 miles of trails along the river. The park is a place to picnic, camp, walk in the woods and learn about the Douglas Fault, the geological formation that created the falls.","4279 South County Highway U
South Range, WI 54874",Douglas County,715-398-3000,https://dnr.wisconsin.gov/topic/parks/amnicon,Amnicon Falls State Park is about 7 miles east of the Superior city limits in Douglas County.,Amnicon Falls State Park is open year-round from 6 a.m. to 11 p.m.,"46.6084,-91.8873",amnicon-falls-state-park,-1
Aztalan State Park,TRUE,FALSE,FALSE,"Aztalan State Park is a National Historic Landmark and contains one of Wisconsin's most important archaeological sites, showcasing an ancient Middle-Mississippian village that thrived between A.D. 1000 and 1300. The people who settled Aztalan built large, flat-topped pyramidal mounds and a stockade around their village. Portions of the stockade and two mounds have been reconstructed in the park.","N6200 County Rd Q
Jefferson, WI 53549",Jefferson County,608-873-9695,https://dnr.wisconsin.gov/topic/parks/aztalan,2 miles east of Lake Mills,Aztalan State Park is open year-round from 6 a.m. to 10 p.m.,"43.0687,-88.8635",aztalan-state-park,-1
Belmont Mound State Park,TRUE,FALSE,FALSE,"Belmont, from the French belle monte, means ""beautiful mountain."" The top of Belmont Mound is 1,400 feet above sea level, providing some fantastic views of the area. Wisconsin's First Capitol historic site is a half mile west of the park. The park is operated by the Belmont Lions Club.","222 S Mound Ave, Belmont, WI 53510",Lafayette County,608-523-4427,https://dnr.wisconsin.gov/topic/parks/belmont,Belmont Mound State Park is located near Belmont on N Co Rd. G in Platteville.,Belmont Mount State Park is open from 6 a.m. to 11 p.m. year-round.,"42.7672,-90.3517",belmont-mound-state-park,-1
Big Bay State Park,TRUE,FALSE,FALSE,"On the eastern side of Madeline Island, the largest of the Apostle Islands archipelago, Big Bay State Park features picturesque sandstone bluffs along 4 miles of Lake Superior shoreline. The park also has a 1-mile boardwalk, sandy swimming beach, hiking trails, large family campground and two group camps. A short ferry ride from Bayfield to Madeline Island is needed to reach the park.","2402 Hagen Rd.
La Pointe, WI 54850",Ashland County,715-747-6425,https://dnr.wisconsin.gov/topic/parks/bigbay,"Big Bay State Park is located on Madeleine Island. Madeline Island Ferry boats operate on regular schedules between Bayfield and La Pointe. During winter, ferry service from Bayfield is available until the ferry is unable to break the ice on the lake. When ferry service is no longer available, an ice road or wind-sleds and passenger vans may be available to Madeline Island.",The park is open year-round from 6 a.m. to 11 p.m.,"46.7881,-90.6734",big-bay-state-park,-1
Big Foot Beach State Park,TRUE,FALSE,FALSE,"Located on the shores of Lake Geneva, Big Foot Beach State Park offers 5 miles of hiking trails, a family campground, swimming beach and picnic and playground areas. Snowshoeing and cross-country skiing are popular in winter.","1550 S. Lake Shore Drive
Lake Geneva, WI 53147",Walworth County,262-248-2528,https://dnr.wisconsin.gov/topic/parks/bigfoot,"The park entrance is at 1550 S. Lake Shore Drive, one mile south of the city of Lake Geneva.",Big Foot Beach State Park is open year-round from 6 a.m. to 11 p.m.,"42.5663,-88.4368",big-foot-beach-state-park,-1
Black River State Forest,FALSE,FALSE,TRUE,"Two forks of the Black River flow through this 68,000-acre forest comprised of pine and oak woods under high sandstone abutments. This central Wisconsin property offers many recreational opportunities, including camping, canoeing, hunting, hiking, skiing and ATV riding. Visitors may even see elk roaming the forest. Elk we released in 2015 and 2016 after being absent from the area for over 125 years.","W10325 Hwy 12
Black River Falls, WI 54615",Jackson County,715-284-4103,https://dnr.wisconsin.gov/topic/StateForests/blackriver,The Black River State Forest is located in the heart of west-central Wisconsin near the city of Black River Falls. It is about two hours southeast of Minneapolis and two hours northwest of Madison near Interstate 94.,The forest is open year-round 6 a.m. to 11 p.m.,"44.2839,-90.8287",black-river-state-forest,-1
Blue Mound State Park,TRUE,FALSE,FALSE,"Perched atop the highest point in southern Wisconsin, Blue Mound State Park offers spectacular views and unique geological features. A swimming pool is available during summer. Over 20 miles of scenic hiking, off-road biking and cross-country ski trails, as well as a family campground, access to the Military Ridge State Trail with bike-in campsites and a rustic cabin for people with disabilities make Blue Mound a popular destination year-round.","4350 Mounds Park Rd.
Blue Mounds, WI 53517",Dane County,608-437-5711,https://dnr.wisconsin.gov/topic/parks/bluemound,"Blue Mound State Park is just north of the Village of Blue Mounds, about 25 miles west of Madison via US Highway 18/151.",Blue Mound State Park is open year-round from 6 a.m. to 11 p.m.,"43.0256,-89.8441",blue-mound-state-park,-1
Brule River State Forest,FALSE,FALSE,TRUE,"The Brule River State Forest offers exceptional recreational opportunities, including river paddling, world-class trout fishing, wildlife viewing, a 23-mile stretch of the North Country National Scenic Trail and 9 miles of Lake Superior shoreline. All 44 miles of the Bois Brule River are contained in the forest. Two campgrounds offer family campsites and access to canoe landings on the Bois Brule River.","6250 South Ranger Rd
Brule, WI 54820",Douglas County,715-372-5678,https://dnr.wisconsin.gov/topic/StateForests/bruleriver,"Brule River State Forest is a long, long linear property in northwestern Wisconsin. The property is about 30 miles north to south, containing the entire 44 miles of the Bois Brule River.",The forest is open year-round 6 a.m. to 11 p.m.,"46.538180,-91.592966",brule-river-state-forest,-1
Brunet Island State Park,TRUE,FALSE,FALSE,"Brunet Island State Park, on the Chippewa and Fisher rivers, offers more than 1,300 acres of scenic beauty and recreational opportunities. Quiet lagoons and channels are excellent for canoeing and wildlife watching. The rolling landscape in Chippewa County is a product of the most recent Ice Age. The park links to the Old Abe State Trail which runs from Cornell to Chippewa Falls.","23125 255th S.
Cornell, WI 54732",Chippewa County,715-239-6888,https://dnr.wisconsin.gov/topic/parks/brunetisland,Brunet Island State Park is located near Chippewa Falls,The park is open year-round from 6 a.m. to 11 p.m.,"45.1798,-91.1623",brunet-island-state-park,-1
Buckhorn State Park,TRUE,FALSE,FALSE,"Buckhorn State Park is a paradise for water enthusiasts, hunters, hikers, campers and nature lovers. The park and two adjacent state wildlife areas cover more than 8,000 acres on a peninsula in the Castle Rock Flowage of the Wisconsin River. Family and group campsites, unique cart-in camping, a cabin for people with disabilities, canoe trail and an accessible fishing pier, are all available at the park.","W8450 Buckhorn Park Ave.
Necedah, WI 54646",Juneau County,608-565-2789,https://dnr.wisconsin.gov/topic/parks/buckhorn,Buckhorn State Park is located near Wisconsin Dells,The park is open year-round from 6 a.m. to 11 p.m.,"43.9469,-90.0042",buckhorn-state-park,-1
Cadiz Springs St. Rec. Area,FALSE,TRUE,FALSE,"Cadiz Springs is a day use area that provides picnicking, hiking, hunting, fishing and wildlife watching opportunities. Located in southwest Wisconsin's driftless area, the landscape is uniquely different from the rest of the state. Here the bogs, marshes and many lakes are replaced by rolling hills and valleys with spring-fed streams. There is no camping at Cadiz Springs.","W5508 CTH NN
New Glarus WI 53574",Green County,608-527-2335,https://dnr.wisconsin.gov/topic/parks/cadizsprings,Cadiz Springs State Recreation Area is about 1 mile east of Browntown and 8 miles west of Monroe on State Highway 11.,Cadiz Springs is open year-round from 6 a.m. to 11 p.m.,"42.5842,-89.7672",cadiz-springs-st-rec-area,-1
Capital Springs St. Rec. Area,FALSE,TRUE,FALSE,"Just minutes from downtown Madison, Capital Springs State Recreation Area and Dane County's Lake Farm Park, offer many recreation opportunities, including camping, hiking and skiing trails, picnicking, fishing and a boat launch on Lake Waubesa. The Capital City State Trail connects Capital Springs and Lake Farm Park to the city of Madison.","3101 Lake Farm Road
Madison, WI 53711",Dane County,608-224-3730,https://dnr.wisconsin.gov/topic/parks/capsprings,"The Lussier Family Heritage Center and campground are at 3101 Lake Farm Road. The Jenni and Kyle Preserve, part of Capital Springs State Recreation Area, is at 925 Post Road.",Capital Springs is open year-round from 6 a.m. to 11 p.m.,"43.0270,-89.3450",capital-springs-st-rec-area,-1
